,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length,tf_type_zero_shot,tf_score
1263,i have known i was always different this year in december i found out that i never felt female i did research and have identified myself as male but dont know how to tell my dad,familyconflict,in part the answer depends on your ageif you are legally a minor then consulting with a doctor for guidance on transitioning will require your father or whoever else pays for your health insurancethe way to tell him if it is a necessity and even if you are older and would like him to know your truth is as followsknow the reason for your hesitancy to speak with himthis  way you can anticipate and to some degree rehearse your answerstell him the truth about your own difficulty to speak about the topic  people usually soften if they feel you appeal to their compassion and sensitivityalso accept that you may hear a bad reaction from him and be prepared for this possibility,1,1,677,T,0.5873969793319702
2701,"i am in a high stress position for a tech company i am being overworked and underpaid for my contributions and it is not only giving me anxiety but also demoralizing

what can i do to manage my stress",stressworkplace relationships,recognize your reason for continuing to work for this placesometimes overworked and underpaid is tolerable bc of the valuable learning which the person will take with them when theyve decided the time has come for these lessons to endor are you in this place bc it is an easy commute to your home or fits well with other parts of your life such as education or some health related programas long as you have a good reason to be there you will feel there is good purposeif there is no good purpose and every day you wake up to work for a place you cant stand then its time to look for a new position,1,1,598,T,0.7467403411865234
1966,"how do i ever trust another woman i have found myself constantly reading between the lines with every other woman that i meet i am having a difficult time making any sort of connection to anyone because of her deception and willingness to say and do literally anything in order to control my emotions
once the relationship was over she became extremely abusive and has attempted to intimidate me into silence regarding the many false claims made on her immigration application",marriagefamily conflictprofessional ethicslegal  regulatory,im sorry to hear about being taken advantage of by your former wifeon the positive side think of how much you learned by going through this very painful timemaybe you are naturally very generous and caring to the point of expecting very little from the other person for exampleconsider yourself in a favorable position to not feel like going out right now and meeting a new person   your spirit is guiding you to stay put and recuperate from this ordeal review for any signs you may have been more trusting than merited by the persons behaviortheres a natural flow to what were able to handle and when we have renewed capacity for new adventurestheres no reason to assume that youll never trust another woman again  the first step is rebuilding trust in yourself to step into a new relationship   there is no designated time line  youll simply feel more ready than you feel nowvery unlikely that youd ever place yourself in a similar situation to the one youre currently recovering fromgood luck,1,1,995,T,0.613214373588562
288,i started having anxiety three months ago im new to having anxiety and its making me depressed,depression,i agree with cory acceptance and commitment therapy act does seem to help a lot of people who struggle with anxiety its not the only type of therapy that can help but it seems to help people in a way that is more natural and realistic as cory mentioned anxiety is something that is part of life so therapies that indicate we can get rid of it are questionable our natural inclination when we have anxiety is to stop any and all things that may cause it or provoke it we do this because we think it will help but it actually doesnt anxiety usually has us rehashing the past or rehearsing the future while ignoring the present act helps folks who have those kinds of tendencies be wellrobin j landwehr dbh lpc ncc,1,1,711,T,0.7145044803619385
1108,he said that if i were to visit my mother he will be gone when i get back my boyfriend and i hit a rough patch in our relationship a few months back and my mom had a few choice words with him,intimacy,your boyfriend and you have a separate relationship than your relationship with your mother   by trying to control whether or not you visit your mom unless you are in agreement with this is building tension between you and himask why he resents your interest to see your motherif he is insecure to the point where he fears your mother will influence your opinion about him then trying to prevent you from visiting your mom is itself creating negativity in you toward himif something still bothers him about the problems you both had several months ago then talking about these problems will do more to clear the air between the two of you than him trying to interfere in your relationship with your mother,1,1,705,T,0.6107281446456909
644,i am a counselor at day camp where we have a child with severe autism we try to keep him entertained by carrying cards around for when he starts acting up so we can get him to focus on something else the day camp administrator has told us not to yell at him because he will zone out and not listen so we just talk in a calm voice however other kids see the treatment as unfair,parenting,behavioral interaction with someone who has severe autism requires highly specialized training both for any professional staff involved with the person and for the family membersit is an unfair situation for both the person who has autism as well as the campers who do not to expect both sides to get along harmoniouslyin order to achieve this the campers would need specialized training to know how to respond to distress in the camper who has autismthis would obviously stretch and burden the summer camp budget as well as provide an activity which usually isnt part of summer camp for childrenwhat you can do which may be productive in helping the camper who has autism is to point out the interaction difficulty to the summer administratorsultimately it is their problem to only take campers who are able to reasonably adjust to socializing together and from what you write the administration has overreached whom they consider reasonable camper mates,1,1,955,T,0.5418084263801575
2782,"we rent from from my boyfriends parents his father drops by unannounced and stays for long periods of time he lets himself into our home when we arent there on a daily basis and takes our dogs to his house he picks up our mail he has no boundaries 

hes an opinionated rude pushy person he expects to spend every weekend around us gives unsolicited advice on child rearing and does not respect our privacy at all he barges in with no warning he has a key and lets himself into our house without asking permission i need help how do i address this",family conflictrelationships,youre expecting reasonable behaviors from your boyfriends fathersince the father is his your boyfriend is the person in position to speak directly with his dad about the expectations you and he have of the fatherif your boyfriend has a good relationship w his dad which is not what this sounds like then greatif your boyfriend has a stressed and tense relationship w his dad then somehow he needs to develop or be coached and encouraged by the people in his life who truly care about and know him a way to state the very reasonable standards you describe hereif all else fails then a new living space is always another possibility,1,1,630,T,0.5693538784980774
787,i got married in  i have a two year old son his mom and i decided to separate due to my infidelities weve tried to reconcile our differences but it never works out since weve been separated ive dated someone and we are expecting a baby girl is this something i should mention to my wife the current woman whom im dating has been telling me for months to break up with her but its hard because i actually love her,relationshipdissolution,my answer is yes you should tell her because you have a child with her she is the mother of your son and this new baby would be his half sister i think telling her is mature and appropriate usually procrastinating just makes it worseanother thing to consider would you want her to tell you if she was pregnant with her boyfriends baby hope this helps take care,1,1,360,T,0.5962749123573303
513,i get so much anxiety and i dont know why i feel like i cant do anything by myself because im scared of the outcomes,anxiety,the other two post answers to your question are very good and i dont feel the need to repeat what has already been said quite well but i will offer one other option i have been able to utilize quite successfully with those dealing with panic attacks  chain analysis is a fantastic way for your to map out the situation starting with the prompting event the chain of events links that lead up to the behavior  in this case a panic attack and then what the consequences were  see the illustration belowthis is very useful in that it lays everything out for you to see so that it becomes possible to alter one of the links leading up to the unwanted behavior panic attack allows you to come up with strategies for similar situations prompting events and allows you to understand how you are reinforcing the behavior when it does occur consequences  finally  it would also allow you to identify any particular vulnerabilities such as not enough sleep poor nutrition trauma history or having a cold the time it occurred  working with someone who utilizes a behavioral approach such as dbt or behavioral analysis you can find solutions that replace one of the links and therefore breaks the chain of events,1,1,1200,T,0.5115715265274048
1270,im an adult facing problems with my mom shes way too controlling she decides things for me disregarding whatever i say i tried explaining my side to her calmly but she eventually gets angry and doesnt wish to listen to me regardless of how i speak to her,familyconflict,the part of your life which is in your control is the way you handle what your mom does and the way she talks to youit is possible the two of you have very different opinions on a great number of matterseach person including you has the right to decide whether and how to respond to someonestick up for your own right to make decisionsif she doesnt accept your independent viewpoints then this doesnt give away your right to have these viewssince she makes herself clear as to her unwillingness to listen to you then consider this as an easy way to avoid directly speaking with her about whats on your mindif she ever shows an interest in your opinions and you feel like discussing these with her then feel free to make this choice,1,1,731,T,0.6973471641540527
1167,when having sex i think of other men and want other men all day long been married  years together  what do you think,intimacy,sustaining passion in marriage is tough stuff its a relatively modern dilemma you are facing with perhaps unrealistic expectations of what marriage should be it sounds like your definitions of love and sexual passion have merged together thats both common and confusing intimacy and sexuality within your marriage are bound to ebb and flow resparking your passion will involve growing using your sexual drama and fantasies as windows into discovering your needs security and wants desires marriage is a people growing process you mature into one another and to achieve fulfillment your continued development will be required,1,1,624,T,0.737824022769928
190,i suffer from adult adhd anxiety disorder and depression it has been difficult to find a doctor in my area and my primary physician wont help i am unemployed and overwhelmed what would you suggest i do,depression,telehealth has become very popular during the pandemic one of the benefits of telehealth is that you can see a therapist who may not be in your area at all although depending on where you reside they likely just need to be licensed in the state where you reside telehealth offers access to a much larger pool of mental health providers some therapists offer sliding scale fees a reduced fee for those who are unable to pay full rate,1,1,432,T,0.5659897923469543
228,i have terrible anxiety and depression ive tried various therapists and pills but nothings helped,depression,is it possible you simply didnt mix well with the particular therapists with whom youve worked   if this is possible interview a therapist before  starting therapy   then you will be choosing a therapist who feels compatible with your way of seeing yourself and your lifealso therapy isnt for everyoneread about the different healing modalities and see if one of these speaks to your interest in feeling betterwhat matters most is finding among all the legitimate healing methods what you believe will be effective,1,1,514,T,0.6894823908805847
2249,i terminated my counseling relationship with a social worker several years ago i am now realizing that i would like to begin counseling again  the social workers voicemail message says that he returns calls in  hours but he hasnt called me back i called him on the weekend and made it clear that i want him to call me back  can he just ignore me,legal  regulatoryprofessional ethics,yes your former social worker should return your phone callit is the professional ethic to do so and plain human decency to do soif he doesnt there is nothing you can directly do about the fact of his ignoring youthere are formal complaints you can make which you can consider doingwhat matters most is receiving social work servicestick with looking for another social worker who is willing to help youthe selfdoubts you mention may be worth examiningthey do not however excuse the social worker mishandling himself,1,1,516,T,0.828350841999054
2246,i am currently suffering from erectile dysfunction and have tried viagra cialis etc  nothing seemed to work  my girlfriend of  years is very sexually frustrated  i told her that it is okay for her to have sex with other men  is that really okay,human sexualityrelationships,hello and thank you for your question i completely agree with dr zehner many couples are in opentype or polyamorous relationships where one or both partners engage in sexual relationships with others the key thing about this is that it really does have to be something that both people are okay with now as dr zehner indicated what may be okay today may not feel okay tomorrow so good communication is essential the truth is even in polyamorous relationships where partners are in agreement jealousy does sometimes happen here is a good article about polyamorous relationships and the issue of jealousy httpeverydayfeminismcompolyamorousdealingjealousythis site has many other articles about polyamory if you type in polyamory in their search box you will find some good information i wish you wellrobin j landwehr dbh lpc ncc,1,1,826,T,0.620766282081604
2557,weve been in a long distance relationship for two and a half years i recently saw his phone and saw the people he texts the most and one of them was a  female coworker i dont know how to approach this situation how do i ask him about it,relationships,if youd like to ask a question then go ahead and askboyfriendgirlfriend is a close relationship and it is usually understood as an exclusive relationship  youre definitely entitled to know if your wishes to not have him texting another woman are being respectedoften people are afraid to ask because they fear the truth will hurt themin the short term this is definitely truein the long term knowing you are getting what you want and at the very least stating your expectations to your boyfriend will clarify for him what is meaningful in your relationship,1,1,556,T,0.7315515279769897
1153,i have no idea what happened i go places and do things but still feel lonely i honestly have no friends and i am always the one texting people and bothering people i feel invisible like someone that no one wants to be around,intimacy,a lot of times any and each of us creates what we need for ourselves by seeing other people as creating these circumstances and situationsis it possible that at this time period in your life being alone is positive for sorting through your true values or sorting through key situations in your lifeif yes then possibly you are giving yourself some alone time even though to some degree being alone is not your first choiceat the very least since you arent happy with being the one who texts others then some alone time may encourage new thoughts and ideas creating more open space within you to attract other people who do enjoy texting you firstalso most relationships are not forever  is it possible you are at a phase when some relationships are simply closing down so that you have clear space within your life for new and different activity,1,1,845,T,0.6098228096961975
1307,"im having issues with my relative the police never believe the experiences i have been through because i am only a kid 
   ive even had trouble trying to reach a therapist because i said i wanted to get an adult to help me could you please give me advice",familyconflict,i think it would be wise for you to call a hotline especially designed for children its called the childhelp national child abuse hotline the number is achild  it is completely anonymous and a trained therapist will be able to provide you with guidance confidentiality and can also help you make a report of you wantthe call is completely free and they are open  hours a day   days a week im glad that you are taking steps to improve your situation you are a very brave and an intelligent child please remember to call  if you are in immediate danger,1,1,550,T,0.8130560517311096
1649,i need to get on base to see my doctor my id card was in my wallet which was stolen im unable to reach my husband at this time he is only one who can take me on base in order to get a new id so i can continue to see doctor is there anything i can do,militaryissues,you should be able to get a replacement id card either from the personnel office on your local base the actual name of this office will vary depending on which branch of the military it is you may also be required to go to the military police or security office on base to report the loss of your old id card,1,1,308,T,0.5816565752029419
1299,hello i have a cousin in my family who has been making me feel belittled insecure and frustrated during her stay here in the city i know she comes from a place of love but she has always been shortfused and highly temperamental if something doesnt work out the way she planned it i have tried my best to coordinate plans with her but she always ends up frustrated about the lack of communication i seem to have on my part and then makes condescending comments about my character that include inconsiderate negative oblivious and self consumed    i have tried to talk to her openly about this but it always comes back as an attack on my character and i have never heard these comments from anyone else before i have been thinking a lot about her comments and whether i truly am an inconsiderate person who is not thoughtful spatially aware of surroundingspeople or positive but in the end i am feeling awfully hurt about how this has affected our relationship    what can i do,familyconflict,do you have a close friend or relative whos opinion you trust ask them for their honest feedback and if they see you like your cousin does if they dont see these qualities in you then it may be your cousins issue and shes taking it out on you you can always ask her what would be the best way to communicate plans with her so you know specifically what she is expecting then if you meet these expectations and she still blames you and comments on how inconsiderate you are its her issue and she is not coming from a place of loveeven if you do resemble her comments the way it sounds like she approaches this problem is not out of love the fact that youre introspective enough to consider your own behavior suggests the problem is not with you,1,1,743,T,0.6003938317298889
1634,i was mentored by this guy for a few years spiritually it was okay at times but other times it was just weird i try not to think about it too much but a lot of manipulation and lying happened yet no one else really believed me when i told them its like hes two different people and no one else really sees that side of him i was blamed for a lot of our troubles and now we dont really talk much im worried because hes in a trusted position of leadership and no one suspects anything they just think im attacking his character how do i know for sure,socialrelationships,you may intuitively be sensing what many professionals in the social sciences and psychology have already understoodjust google psychopaths and leadership and many articles come up about boardroom politics and that psychopaths are very successful in these rolestheoretically is it terrible that corporate leadership qualities match those of psychopaths  well yes  and i consider your question as a mark of your sensitive awareness toward other people  being able to recognize social dynamics is a strength that you havepsychopaths know how to be charming and to twist words so that others believe that their own interest is the same as the psychopathsi agree with you about not being able to change peoples minds who are attached to this persons interactionsthe only way you can introduce a change in the relationship system of a psychopath is that if you are aware of illegal or law breaking activity and you have evidence of this that you contact relevant authoritiesno one is allowed to break laws including psychopaths,1,1,1022,T,0.7285580039024353
1405,i have had a crush on this guy for years i last talked to him a few years ago when we graduated from high school we left off on a good note should i message him and see how he is doing or is it too late,relationships,youll only find out whether or not it is too late by following through with wanting to message himregardless of whether the response you receive is what youd hoped to hear including not hearing back from him you will have done yourself a great honor and respect by following through on a wish and curiosity youve had for some time,1,1,330,T,0.5488222241401672
1579,this is my recovery and i dont feel that it is okay for them to ask this they told me it is policy due to the fact that i may run into a peer there i am a peer counselor in the small community that i grew up in i am in recovery myself i was asked to come work for this organization after i was two years sober i was in treatment in this organization i work with mental health peers and run life skill groups i dont work with substance peers,addiction,you definitely want to make sure not to inadvertently create an inappropriate dual relationship with a client in fact it is not uncommon for state regulatory boards to determine that a clinician and client being in the same  step group is professional misconduct you might want to consider attending a  step meeting that is located in a different community than the one you work in  another option would be to look for oneonone or small group recovery support,1,1,459,T,0.7075272798538208
835,ive been suppressing it for quite some time but there are days when i cant make eye contact with her i think she knows and we both admitted there was some type of vibe but the overall discussion was vague i think she could possibly be dating someone that works with us its driving me crazy as an act of expression i have purchased a gift for her thats personalized i havent given it to her yet,workplacerelationships,there are many possible ways dating your boss could go awry and jeopardize your occupational wellbeing so my recommendation is to hold off on presenting your boss with a personalized gift and instead focus on building attraction and romantic interest with someone who is not at the workplace  sometimes the element of power and unavailability can heighten our sexual interest but that doesnt mean its a healthy idea to pursue someone who is in a position of power over you at your workplace,1,1,490,T,0.8888376951217651
1349,weve been in a long distance relationship for two and a half years i recently saw his phone and saw the people he texts the most and one of them was a female coworker i dont know how to approach this situation how do i ask him about it,relationships,if youd like to ask a question then go ahead and askboyfriendgirlfriend is a close relationship and it is usually understood as an exclusive relationship  youre definitely entitled to know if your wishes to not have him texting another woman are being respectedoften people are afraid to ask because they fear the truth will hurt themin the short term this is definitely truein the long term knowing you are getting what you want and at the very least stating your expectations to your boyfriend will clarify for him what is meaningful in your relationship,1,1,556,T,0.7315515279769897
277,i think i may suffer from depression and it is affecting my life and sleep i am on my parents insurance and they wont let me see a therapist because they dont believe in it,depression,the answer here really depends upon your age and something called the age of consent in the state where you live in pennsylvania anyone over the age of  can provide consent for their own treatment as for billing purposes try talking to some local agencies if you are under  you may be able to have medicaid out of medical necessity so that you can have treatment if you are over  there may be some discounted rates at some agencies because of the situation youre in maybe your primary care physician will be able to refer you to some local agenciesif you are in school you may be able to talk with a guidance counselor or someone at the school this would not require using your insurance,1,1,687,T,0.6971882581710815
733,im scared that i am with this man so i wont be alone he should be with somebody who deserves him if this is the case and i dont want to hurt him,selfesteem,while not wanting to be alone may not be the best reason to be in a relationship it is probably more common and normal a reason than you think  since you seem to care about your friend dont want to hurt him i imagine there are many other reasons that you are together  i suggest that you talk about this openheartedly with each other  the idea of being afraid of being alone sounds like an honest starting place  dont try to figure out whether you should be with him  just talk  the communication is likely to shine light on deepening connection for both of youin the meantime your idea that you dont deserve him is rooted in a core lie that you are telling yourself  you can read about core lies and much more in my book living yes a handbook for being human  check out wwwlivingyesorgbe easy on yourself  you are deservingmark,1,1,828,T,0.6491724252700806
1104,ive been in a relationship for almost a year and i absolutely trust my boyfriend he treats me nice checks on me and tells me sweet things however when it comes to making life decisions i feel he is very immature i try to talk things out so we can compromise or make sound decisions together but he lacks any ideas and prefers to just go with anything to avoid fighting as far as dates if i dont say anything plan it or have money to chip in we will not go i feel like i put in a lot of work supporting and sometimes spoiling and all i get is a loyal man who will not cheat and say sweet things on occasion,intimacy,well then your decision is whether you want to stay in this type of relationship or notone point to keep in mind is thisjust because hes not telling you his opinions doesnt mean he doesnt have any opinionsin the long run t is always easier to talk with someone about their differences from our point of view than to be someone who doesnt tell you what is in their mindshort term it seems easy to have someone agreeablelong term someone who doesnt tell you their thoughts and who disagrees with you may potentially go about their true wishes in hidden ways,1,1,555,T,0.5735355019569397
2666,"i have a friend that who i used to be in a relationship with it was brief and turned into us being just good friends

i spent the weekend with him and  it upset my boyfriend was i wrong",relationshipssocial relationships,thank you for submitting this question i think this type of situation can be common for many couples struggling with how to keep friendships with past relationships while being in a new relationship for me more information is needed herebut given the information provided the way i interpret the question isim assuming your boyfriend didnt know you were going to spend the weekend with your good friend  working off of this assumption i would suggest beginning an open and honest dialogue with your boyfriend about what specifically upset him and to talk about your point of view regarding spending the weekend with him i would also suggest talking about how you both envision your relationship when it comes to spending time with others if you feel like you cant have this conversation without it going off track please consider seeing a couples therapist they can help you begin these important conversations that can help shape and develop the relationship you and your boyfriend long for,1,1,991,T,0.8833264708518982
1571,i just need to know if im really crazy or not,behavioralchange,do an internet research on psychosis symptoms and see if you have several of the symptoms  if you do seek a medical evaluation from your primary care physician  there are great medications and psychotherapy that can help you live your life to the fullest  there a many people who are diagnosed with psychosis and living a productive life,1,1,337,T,0.6287834048271179
1476,my exboyfriend and i met over a year ago we hit it off and fell in love pretty quick however he has trust issues and assumed i was cheating when i found out i was pregnant we had just broken up five months later i lost the baby and we did not speak for a few weeks now we are talking and he says he loves me but is afraid i will hurt him again i just want to know where to go with this because i love him so much and i want to get back to us being happy and a family,relationships,trust is essential in romantic relationships and it is common to have trust issues  because the stakes are so high if both of you are committed and willing to be fully honest with each other trust can be repaired and become stronger than ever i would encourage you to seek out professional help as it easy to get derailed by fear when trying to work things out in the absence of trust when fear takes over  we tend to become defensive and act in ways that makes it harder to trust one another in addition to getting professional support i would encourage you to learn more about building trust in relationships and deepening connection through accessing various online resources on relationships,1,1,695,T,0.64729905128479
1148,we got into arguments and we would break if off but start it back up again we clicked or so i thought we are both married with problems in our marriage we never have sex we just send a lot of pictures back and forth and talk about doing things together his wife found out and he lied to her and didnt even refer to it as an affair i cant stop thinking about him we just click ive been married for  years and ive never liked anyone other than my husband now i like him and well never be together,intimacy,if you will never be together and in order to maintain this affair you need to deceive both of your spouses it seems unlikely that maintaining the affair will bring anything but heartbreak for everyone involved there is obviously something that you are getting from this that you are not getting in your marriage maybe this is a cue that there is work to do on your marriage to try to make it more fulfilling and if that is not possible then maybe you want something else for your life  if you and your husband are willing i would encourage you to do some therapy or counselling together  you may enjoy this article to learn a little more about some factors that lead to connection or disconnection and that predict separation and divorce,1,1,738,T,0.6652579307556152
239,i have a severe back problem ive had  major and several minor operations but im still in constant pain how can i deal with the depression from this chronic pain,depression,chronic pain at the back likely results from a few areasll kidney zone most likely lower backbone spurs fused discs and slipped discs caused by connective tissue weakness and calcium deposits used to neutralize highly acidic areasthe depression will evaporate when the chronic pain is drained out through natural meanspharmaceutical means will simply extend the pain and cause it to deepen over time not solving the problemremember medical doctors suppress natural doctors cure,1,1,477,T,0.8375306725502014
1213,my new daughterinlaw just informed me that she is smoking marijuana while pregnant because of her morning sickness im in shock and i dont know how to respond i just lost my mom and she was good with advice,substanceabuse,have you reached your own conclusions and reasons for these regarding the topic   when you feel confident in your own reasons for your conclusions then obviously ask your daughter in law for some time together and tell her what you think and your reasons for opinionsplan for this meeting according to the type of relationship you have with your daughter in lawsince your son will also be affected by the prenatal conditions of his child he may also be interested in being part of this conversationalso during your discussion find out the exact ways the morning sickness affects your daughter in lawit is possible that scheduling adjustments in routines can be made so your daughter has more time to rest or fewer responsibilities for a while until she feels bettermaybe you and other family members can lighten her daily routines so she has more time for herself to manage her morning sickness in a less risky waysending good luck,1,1,931,T,0.5475773215293884
210,im in my early s ive worked since two months after i turned  i have plans i could become an electrician or i could operate heavy machinery i have goals but i do nothing to try to meet them because i dont feel i can i just want a better life for my fiancée and the kids than i did,depression,if youre not following the goals you gave yourself there are two possibilitiesyou dont really like your goalsyou selfsabotage and prevent yourself from your own strengths and accomplishmentsthink through each of theseif youve set goals which arent true to your nature then intuitively some part of you will reject themif you selfsabotage get in your own way from achieving what you truly would like then ask questions of yourself around whether you feel undeserving of success,1,1,476,T,0.7627803087234497
207,i dont know if i have depression but i have been very sad there are nights that i dont sleep i dont eat all day sometimes i dont have energy to anything anymore,depression,these symptoms are all classic to the diagnosis of depressiona diagnosis itself doesnt help anyone get better  often people say the word depression as though it means something terrible   the diagnosis of depression can be depressingforget matching symptoms with a diagnosismore important to improvement is to know the reason for your sadness  when people become sad there is a reason for it and knowing this reason is the first step to changing the situation which creates the sadness in youthink of depression as a way to slow down and examine aspects of your life and relationships  if you continue at the same pace of living and didnt stop and examine your life then you may not notice what needs changing,1,1,709,T,0.5042861700057983
677,my daughter didnt see her biological father for the last three years she doesnt want to see him because she remember really bad things from him such as domestic violence and child abuse the visitation is with supervision but she refuses to see him is it better to take my daughter to the therapist and try to see him after the therapy,parenting,has the father or the visitation supervisor contacted you regarding why your daughter hasnt shown up for the past three years worth of supervised visitationor is the supervised visitation a new development for the bio dad and your daughterif no one is pressuring or expecting your daughter to show up no one has even asked where she is why she isnt present then i dont see any reason for you to offer more effort by your daughter than the father is willing to make for seeing herif your daughter is willing to talk with a therapist then let her find out first hand if the sessions seem useful or notthe one move id avoid is to force your daughter to go to a therapist since growing up in a household in which child abuse took place being forced may remind her of her own feelings from this past of feeling no one heard or cared about the way she wanted to be treated,1,1,866,T,0.6300588846206665
1131,weve been dating for two months now i have a heavy past that gets him angry does he have a right to penalize me for things i did before i met him,intimacy,not in my book youre only two months in at this early stage this is a bit of a warning sign if he cant accept or feel comfortable with who you are and decisions youve made theres already a level of discomfort here that shouldnt be ignored no he doesnt have the right to penalize you or punish you not just for past thingsnot for anything what he does get to do it tell you how it affects him sureif he feels uncomfortable or needs reassurancelisten to those things but if he doesnt dig who you are maybe he can walk the other way,1,1,529,T,0.5429062843322754
1261,my mom and dad got divorced four years ago i had to finish out the school year with my dad and now they are deciding which place is best for me i cant choose how can i choose if i love both places,familyconflict,if youve already stated to your parents that youd like your opinion to be considered and listed the key areas youd like them to keep in mind when making a final decision as to which house you will live then youve done all you possibly and reasonably can dosince you wrote that you have difficulty to decide in which parents home you prefer to live then even if you had free choice of whose house in which to live are you not better off with the decision made by them on your behalf,1,1,481,T,0.7892454266548157
686,what makes my step child an  year old boy choke my daughter a  year old girl this has been going on for  years the boy tells my daughter not to tell on him he knows its wrong we have did time out spanking taking away toys and sitting on the wall i am afraid for my daughters safety,parenting,i can see why you are alarmed that is a scary situation for a parent do you know if the child has been evaluated by a mental health professional early treatment is often the key a professional will be able to help the child learn how to control their anger and mend the troublesome actions into more appropriate responses have you addressed your concerns with the childs other parent there could be contributing factors in his life that could be causing these issues exposure to violence sexualphysical abuse drug use stressful events in his life etc it is important that these factors are identified so that they can either be eliminated andor reduced i wouldnt hesitate to have him evaluated if he hasnt been already and to ensure that he is getting the help that he needs whether it be medication andor therapy until then i would make sure that he is always supervised under an adults care,1,1,892,T,0.5901259183883667
1233,my mother takes care of niece whom my sister abandoned she calls me every day complaining but i dont want to hear it anymore,familyconflict,then one day when life between you and mom feels calm tell your mom that you arent able to listen to her complaints about your sisterthe truth exists whether or not it is acknowledged   bu acknowledging what feels real and necessary in your life you are helping your mom see what she may not like to see and what nevertheless is right in front of herthere is no good reason or good to come of hiding your own truth about not wishing to continue listening to your mom complain,1,1,475,T,0.5911526679992676
635,my daughter is in later elementary school she cant color in the lines her words jumble together when she writes unless there are big spaces or she skips lines,parenting,at times when a child is not displaying milestone behavior at the same rate that is average for their peers this should raise concern so you are correct in reaching out for advice speaking with your childs pediatrician as well as school staff may be the first places to start you can request that she receive an assessment and evaluation with a subsequent treatment plan to meet any needs she may have,1,1,401,T,0.798875093460083
